id,activity,start,end,section
1,PhD courses,01-01-2021,01-06-2022,NA
2,ICLFS management scenarios elaboration,01-01-2021,01-01-2022,1
3,Adaptation of modeling framework to ICLFS,01-01-2022,01-01-2023,2
4,Application of modeling framework,01-06-2022,01-06-2023,2
5,Determination of ecosystem services,01-01-2023,01-01-2024,3
6,Estimates of carbon budget,01-01-2023,01-01-2024,3
7,Economic evaluation,01-01-2023,01-01-2024,3
8,Data consolidation,01-01-2024,01-06-2024,4
9,Statistical analysis,01-01-2024,01-01-2025,4
10,Reporting to funders,01-06-2022,01-01-2023,NA
11,Reporting to funders,01-06-2024,01-01-2025,NA
12,Preparation of scientific publications,01-01-2023,01-01-2025,NA
